Delivery_ID,Dispatch_Date,Delivery_Date,Route_ID,Customer_ID,Gross_Weight,Status
2620,2024-01-02,,1,23,1551,Failed
2619,2024-01-02,,1,24,314,Failed
3630,2024-01-02,,5,18,30,Failed
342,2024-01-02,2024-01-04,2,10,7592,On-Time
343,2024-01-02,2024-01-04,2,23,3796,On-Time
341,2024-01-02,2024-01-06,2,1,8590,Delayed
4398,2024-01-02,2024-01-07,3,22,1002,On-Time
4405,2024-01-02,2024-01-07,3,28,1610,On-Time
4408,2024-01-02,2024-01-07,5,23,190,On-Time
4406,2024-01-02,2024-01-07,5,27,705,On-Time
4397,2024-01-02,2024-01-08,25,2,306,On-Time
4393,2024-01-02,2024-01-08,25,4,3,On-Time
4396,2024-01-02,2024-01-08,25,9,202,On-Time
4404,2024-01-02,2024-01-08,25,10,2451,On-Time
4399,2024-01-02,2024-01-08,25,12,63,On-Time
4394,2024-01-02,2024-01-08,25,18,82,On-Time
4401,2024-01-02,2024-01-08,25,19,1539,On-Time
4403,2024-01-02,2024-01-08,25,28,2200,On-Time
4402,2024-01-02,2024-01-09,25,15,1887,On-Time
4407,2024-01-02,2024-01-11,5,3,185,Delayed
4395,2024-01-02,2024-01-11,25,3,141,Delayed
4400,2024-01-02,2024-01-12,25,21,540,Delayed
4413,2024-01-03,2024-01-06,5,3,1206,On-Time
4412,2024-01-03,2024-01-06,5,14,804,On-Time
4411,2024-01-03,2024-01-06,5,26,818,On-Time
4409,2024-01-03,2024-01-08,25,16,268,On-Time
4410,2024-01-03,2024-01-10,25,29,830,On-Time
2623,2024-01-04,,1,4,750,Failed
2624,2024-01-04,,1,12,1500,Failed
2622,2024-01-04,,1,14,590,Failed
2621,2024-01-04,,1,27,450,Failed
2625,2024-01-04,,1,29,2945,Failed
1,2024-01-04,2024-01-08,1,28,8683,On-Time
4414,2024-01-04,2024-01-09,25,28,88,On-Time
3633,2024-01-05,,2,5,1010.47,Failed
3632,2024-01-05,,2,21,666,Failed
3634,2024-01-05,,2,22,1105.48,Failed
3631,2024-01-05,,2,26,612.82,Failed
3635,2024-01-05,,6,20,265.45,Failed
4415,2024-01-05,,25,4,282,Failed
4416,2024-01-05,2024-01-08,2,10,7224,On-Time
2,2024-01-05,2024-01-08,2,15,24000,On-Time
3636,2024-01-05,2024-01-08,3,16,614.42,On-Time
2519,2024-01-05,2024-01-08,5,2,69.94,On-Time
2520,2024-01-05,2024-01-08,5,16,74.68,On-Time
835,2024-01-05,2024-01-10,17,22,2630,On-Time
4420,2024-01-05,2024-01-10,25,9,305,On-Time
4417,2024-01-05,2024-01-10,25,12,256,On-Time
4418,2024-01-05,2024-01-10,25,23,321,On-Time
4419,2024-01-05,2024-01-10,25,28,657,On-Time
2626,2024-01-05,2024-01-11,1,21,580,On-Time
1944,2024-01-05,2024-01-11,26,19,110,On-Time
1943,2024-01-05,2024-01-14,22,4,220,On-Time
1942,2024-01-05,2024-01-14,22,23,48,On-Time
3637,2024-01-08,,2,16,3976.39,Failed
838,2024-01-08,2024-01-10,2,14,24000,On-Time
836,2024-01-08,2024-01-10,2,17,24000,On-Time
837,2024-01-08,2024-01-10,2,18,24000,On-Time
3639,2024-01-08,2024-01-11,3,4,200.13,On-Time
4424,2024-01-08,2024-01-11,3,28,3584,On-Time
4427,2024-01-08,2024-01-11,5,3,307,On-Time
4426,2024-01-08,2024-01-11,5,4,1555,On-Time
4425,2024-01-08,2024-01-11,5,13,697,On-Time
3638,2024-01-08,2024-01-11,9,18,42.87,On-Time
4422,2024-01-08,2024-01-13,25,1,103,On-Time
4423,2024-01-08,2024-01-13,25,4,1031,On-Time
3640,2024-01-08,2024-01-14,12,20,130425.11,On-Time
839,2024-01-08,2024-01-14,14,16,950,On-Time
4421,2024-01-08,2024-01-16,25,9,13,Delayed
4428,2024-01-09,,25,28,764,Failed
2628,2024-01-09,2024-01-13,1,4,1350,On-Time
2627,2024-01-09,2024-01-13,1,5,1300,On-Time
505,2024-01-09,2024-01-13,17,2,659,On-Time
840,2024-01-09,2024-01-14,3,20,2840,On-Time
4429,2024-01-09,2024-01-16,3,25,916,Delayed
3641,2024-01-10,,2,7,1211.33,Failed
3642,2024-01-10,,2,24,1395.45,Failed
2630,2024-01-10,,4,3,1472,Failed
2629,2024-01-10,,4,20,130,Failed
4,2024-01-10,2024-01-13,3,1,4885,On-Time
3644,2024-01-10,2024-01-13,3,2,1296.62,On-Time
841,2024-01-10,2024-01-13,3,2,5320,On-Time
4430,2024-01-10,2024-01-13,5,30,1291,On-Time
2535,2024-01-10,2024-01-13,10,19,90.91,On-Time
2534,2024-01-10,2024-01-13,10,20,37.84,On-Time
3643,2024-01-10,2024-01-14,2,4,24000,On-Time
3,2024-01-10,2024-01-14,2,23,24000,On-Time
2631,2024-01-10,2024-01-15,1,9,250,On-Time
2632,2024-01-10,2024-01-15,1,16,690,On-Time
695,2024-01-11,2024-01-13,2,4,817,On-Time
2633,2024-01-11,2024-01-15,1,19,300,On-Time
3645,2024-01-11,2024-01-15,3,1,10643.37,On-Time
4434,2024-01-11,2024-01-15,3,9,1614,On-Time
696,2024-01-11,2024-01-15,3,11,1970,On-Time
3647,2024-01-11,2024-01-15,3,17,30.69,On-Time
697,2024-01-11,2024-01-15,3,19,3250,On-Time
1689,2024-01-11,2024-01-15,3,22,2800,On-Time
631,2024-01-11,2024-01-15,3,30,2900,On-Time
1947,2024-01-11,2024-01-15,5,6,144,On-Time
843,2024-01-11,2024-01-15,14,16,510,On-Time
1690,2024-01-11,2024-01-15,17,19,5250,On-Time
3646,2024-01-11,2024-01-16,9,17,792,On-Time
4433,2024-01-11,2024-01-16,25,6,399,On-Time
4432,2024-01-11,2024-01-16,25,24,250,On-Time
4431,2024-01-11,2024-01-16,25,27,165,On-Time
1945,2024-01-11,2024-01-17,5,14,60,Delayed
842,2024-01-11,2024-01-17,14,21,380,On-Time
1946,2024-01-11,2024-01-18,22,17,90,On-Time
3648,2024-01-12,,2,28,5445.15,Failed
3649,2024-01-12,,25,3,49.22,Failed
344,2024-01-12,2024-01-13,6,4,2109,On-Time
4379,2024-01-12,2024-01-15,2,1,24000,On-Time
846,2024-01-12,2024-01-15,2,11,24000,On-Time
847,2024-01-12,2024-01-15,2,16,24000,On-Time
1693,2024-01-12,2024-01-15,3,3,4260,On-Time
1691,2024-01-12,2024-01-15,3,8,1740,On-Time
1692,2024-01-12,2024-01-15,3,20,2440,On-Time
2536,2024-01-12,2024-01-15,5,9,41.245,On-Time
3652,2024-01-12,2024-01-15,9,23,595.44,On-Time
4437,2024-01-12,2024-01-17,25,16,132,On-Time
4435,2024-01-12,2024-01-17,25,19,96,On-Time
4436,2024-01-12,2024-01-17,25,27,113,On-Time
845,2024-01-12,2024-01-18,2,4,24000,Delayed
3650,2024-01-12,2024-01-18,2,27,24000,Delayed
844,2024-01-12,2024-01-19,2,27,24000,Delayed
2634,2024-01-15,,1,27,899,Failed
3653,2024-01-15,2024-01-16,6,3,24000,On-Time
4438,2024-01-15,2024-01-17,2,26,24000,On-Time
4439,2024-01-15,2024-01-18,3,23,1824,On-Time
848,2024-01-15,2024-01-18,3,25,3780,On-Time
1694,2024-01-15,2024-01-18,3,27,4575,On-Time
4441,2024-01-15,2024-01-18,5,3,138,On-Time
4442,2024-01-15,2024-01-18,5,10,143,On-Time
